T:00017982-f332-4c70-bcc4-05a4c9ce3a62	A:00017982-F332-4C70-BCC4-05A4C9CE3A62
T:01cd39db-aa0b-4f1b-9f11-563ebaa533ba	A:01CD39DB-AA0B-4F1B-9F11-563EBAA533BA
T:0071620e-4a64-4476-be6b-8c2a58d86ea3	A:0071620E-4A64-4476-BE6B-8C2A58D86EA3
T:0047f8e2-d0a2-46d0-a07c-056a0868c3f2	A:0047F8E2-D0A2-46D0-A07C-056A0868C3F2
T:0043bf6b-656e-4a15-8371-c9ce93dc506a	A:0043BF6B-656E-4A15-8371-C9CE93DC506A
T:005597a6-23bf-439c-8cc3-9916130dda06	A:005597A6-23BF-439C-8CC3-9916130DDA06
T:0096aa93-1996-40fc-bc71-072407a6df21	A:0096AA93-1996-40FC-BC71-072407A6DF21
T:016100ad-ee89-4d95-9068-9d26776667ae	A:016100AD-EE89-4D95-9068-9D26776667AE
T:00283e9b-fee2-4e69-8e80-a85c79f306c5	A:00283E9B-FEE2-4E69-8E80-A85C79F306C5
T:000262e1-2de4-468c-b1c6-86e3124181f1	A:000262E1-2DE4-468C-B1C6-86E3124181F1
T:00d0a089-2a46-4805-a064-6f4eb32231f0	A:00D0A089-2A46-4805-A064-6F4EB32231F0
T:00cb363a-348f-4165-8208-a3c5ee19183c	A:00CB363A-348F-4165-8208-A3C5EE19183C
T:00bdb0be-6a58-4d07-86c2-dbf5aa6fda10	A:00BDB0BE-6A58-4D07-86C2-DBF5AA6FDA10
T:0038fc88-db9f-4f29-99af-9a2d5b10fcdf	A:0038FC88-DB9F-4F29-99AF-9A2D5B10FCDF
T:007a0b26-cbe7-4385-b3c1-4afd0228654c	A:007A0B26-CBE7-4385-B3C1-4AFD0228654C
T:000b0512-b5a7-4b28-b40b-3233da47a492	A:000B0512-B5A7-4B28-B40B-3233DA47A492
T:00424202-d604-4e48-a1a7-0b1115d91a28	A:00424202-D604-4E48-A1A7-0B1115D91A28
T:000a1467-c6da-4e33-a05b-5ab66410d8e8	A:000A1467-C6DA-4E33-A05B-5AB66410D8E8
T:001212ae-9e72-40cb-821d-5f70b9ca1dd1	A:001212AE-9E72-40CB-821D-5F70B9CA1DD1
T:001e8e1e-752e-4318-8d0b-96dd2b7107eb	A:001E8E1E-752E-4318-8D0B-96DD2B7107EB
T:00c93bd7-f176-49c8-811b-e0b6a985d8c4	A:00C93BD7-F176-49C8-811B-E0B6A985D8C4
T:00d54f19-4469-4f35-8192-bc9379836c7a	A:00D54F19-4469-4F35-8192-BC9379836C7A
T:00079b7f-6473-4522-92dc-75fd96708042	A:00079B7F-6473-4522-92DC-75FD96708042
T:00194f4d-3b5b-4e90-9945-ed0dca5242e8	A:00194F4D-3B5B-4E90-9945-ED0DCA5242E8
T:00434da3-951f-47b8-b59a-4427a313643d	A:00434DA3-951F-47B8-B59A-4427A313643D
T:0011220f-d955-4c9b-9d3d-9455088d809e	A:0011220F-D955-4C9B-9D3D-9455088D809E
T:00a98500-e080-464e-9a80-219dfb2dc641	A:00A98500-E080-464E-9A80-219DFB2DC641
T:0067ad7c-93b9-47fa-94f3-c09c616f0d8b	A:0067AD7C-93B9-47FA-94F3-C09C616F0D8B
T:000e4e6a-b95f-4ece-8074-e4ec8bfea1f9	A:000E4E6A-B95F-4ECE-8074-E4EC8BFEA1F9
T:000bd5e0-6ba1-4e62-90f1-55eca54b7817	A:000BD5E0-6BA1-4E62-90F1-55ECA54B7817
T:00b237ec-4cba-444f-b398-92ee17e8df73	A:00B237EC-4CBA-444F-B398-92EE17E8DF73
T:022b1b4f-c0dc-4944-b637-3afa07d2033e	A:022B1B4F-C0DC-4944-B637-3AFA07D2033E
T:00d24f50-0f91-47f6-8038-6332a42ef835	A:00D24F50-0F91-47F6-8038-6332A42EF835
