O:41781FB2-BC02-4B7C-BD55-B576C07BB09D	AADPREMIUMSERVICE	AZURE ACTIVE DIRECTORY PREMIUM P1
O:27216C54-CAF8-4D0D-97E2-517AFB5C08F6	MICROSOFTCOMMUNICATIONSONLINE	SKYPE FOR BUSINESS ONLINE (PLAN 3)
O:43DE0FF5-C92C-492B-9116-175376D08C38	MICROSOFTOFFICE	OFFICE 365 PROPLUS
O:3E26EE1F-8A5F-4D52-AEE2-B81CE45C8F40	MICROSOFTCOMMUNICATIONSONLINE	SKYPE FOR BUSINESS PSTN CONFERENCING
O:76846AD7-7776-4C40-A281-A386362DD1B9	PROCESSSIMPLE	FLOW FOR OFFICE 365
O:5BFE124C-BBDC-4494-8835-F1297D457D79	EXCHANGE	OUTLOOK CUSTOMER MANAGER
O:882E1D05-ACD1-4CCB-8708-6EE03664B117	SCO	MOBILE DEVICE MANAGEMENT FOR OFFICE 365
O:B2669E95-76EF-4E7E-A367-002F60A39F3E	MICROSOFTCOMMUNICATIONSONLINE	SKYPE FOR BUSINESS ONLINE (PLAN 2) FOR MIDSIZE
O:FE71D6C3-A2EA-4499-9778-DA042BF08063	SHAREPOINT	PROJECT ONLINE SERVICE
O:E95BEC33-7C88-4A70-8E19-B10BD9D0C014	SHAREPOINT	OFFICE ONLINE
O:0FEAEB32-D00E-4D66-BD5A-43B5B83DB82C	MICROSOFTCOMMUNICATIONSONLINE	SKYPE FOR BUSINESS ONLINE (PLAN 2)
O:13696EDF-5A08-49F6-8134-03083ED8BA30	SHAREPOINT	ONEDRIVE FOR BUSINESS (PLAN 1)
O:7547A3FE-08EE-4CCB-B430-5077C5041653	YAMMERENTERPRISE	YAMMER ENTERPRISE
O:874FC546-6EFE-4D22-90B8-5C4E7AA59F4B	POWERAPPSSERVICE	POWERAPPS FOR DYNAMICS 365
O:8A256A2B-B617-496D-B51B-E76466E88DB0	MULTIFACTORSERVICE	MICROSOFT AZURE MULTI-FACTOR AUTHENTICATION
O:9AAF7827-D63C-4B61-89C3-182F06F82E5C	EXCHANGE	EXCHANGE ONLINE (PLAN 1)
O:F5AA7B45-8A36-4CD1-BC37-5D06DEA98645	ERP	DYNAMICS_365_FOR_OPERATIONS_TEAM_MEMBERS
O:113FEB6C-3FE4-4440-BDDC-54D774BF0318	EXCHANGE	EXCHANGE FOUNDATION
O:3E58E97C-9ABE-EBAB-CD5F-D543D1529634	NETBREEZE	MICROSOFT SOCIAL ENGAGEMENT PROFESSIONAL – ELIGIBILITY CRITERIA APPLY
O:663A804F-1C30-4FF0-9915-9DB84F0D1CEA	MICROSOFTOFFICE	VISIO PRO FOR OFFICE 365
O:A1F3D0A8-84C0-4AE0-BAE4-685917B8AB48	SHAREPOINT	SHAREPOINT ONLINE (P1)
O:B650D915-9886-424B-A08D-633CEDE56F57	PROCESSSIMPLE	FLOW FOR DYNAMICS 365
O:0B03F40B-C404-40C3-8651-2ACEB74365FA	POWERAPPSSERVICE	POWERAPPS FOR DYNAMICS 365
O:176A09A6-7EC5-4039-AC02-B2791C6BA793	EXCHANGE	EXCHANGE ONLINE ARCHIVING FOR EXCHANGE ONLINE
O:52E619E2-2730-439A-B0D3-D09AB7E8B705	POWERAPPSSERVICE	POWERAPPS FOR DYNAMICS 365
O:6B5B6A67-FC72-4A1F-A2B5-BEECF05DE761	SHAREPOINT	SHAREPOINT ONLINE PLAN 1
O:70710B6B-3AB4-4A38-9F6D-9F169461650A	MICROSOFTCOMMUNICATIONSONLINE	SKYPE FOR BUSINESS ONLINE (PLAN P1)
O:A23B959C-7CE8-4E57-9140-B90EB88A9E97	SWAY	SWAY
O:FAFD7243-E5C1-4A3A-9E40-495EFCB1D3C3	MICROSOFTOFFICE	PROJECT ONLINE DESKTOP CLIENT
O:3413916E-EE66-4071-BE30-6F94D4ADFEDA	DYNAMICSMARKETING	MICROSOFT DYNAMICS MARKETING SALES COLLABORATION – ELIGIBILITY CRITERIA APPLY
O:41BF139A-4E60-409F-9346-A1361EFC6DFB	YAMMERENTERPRISE	YAMMER MIDSIZE
O:6A54B05E-4FAB-40E7-9828-428DB3B336FA	CRM	DYNAMICS 365 FOR TEAM MEMBERS
O:B737DAD2-2F6C-4C65-90E3-CA563267E8B9	PROJECTWORKMANAGEMENT	MICROSOFT PLANNER
O:C1EC4A95-1F05-45B3-A911-AA3FA01094F5	SCO	MICROSOFT INTUNE A DIRECT
O:F9646FB2-E3B2-4309-95DE-DC4833737456	CRM	MICROSOFT DYNAMICS CRM ONLINE PROFESSIONAL
O:57FF2DA0-773E-42DF-B2AF-FFB7A2317929	TEAMSPACEAPI	MICROSOFT TEAMS
O:5DBE027F-2339-4123-9542-606E4D348A72	SHAREPOINT	SHAREPOINT ONLINE (PLAN 2)
O:7E6D7D78-73DE-46BA-83B1-6D25117334BA	PROCESSSIMPLE	FLOW FOR DYNAMICS 365
O:92F7A6F3-B89B-4BBD-8C30-809E6DA5AD1C	POWERAPPSSERVICE	POWERAPPS FOR OFFICE 365
O:BEA4C11E-220A-4E6D-8EB8-8EA15D019F90	RMSONLINE	MICROSOFT AZURE ACTIVE DIRECTORY RIGHTS
O:C68F8D98-5534-41C8-BF36-22FA496FA792	POWERAPPSSERVICE	POWERAPPS FOR OFFICE 365
O:1259157C-8581-4875-BCA7-2FFB18C51BDA	SHAREPOINT	PROJECT ONLINE ESSENTIALS
O:EFB87545-963C-4E0D-99DF-69C6916D9EB0	EXCHANGE	EXCHANGE ONLINE (PLAN 2)
O:1EC58C70-F69C-486A-8109-4B87CE86E449	PROCESSSIMPLE	FLOW FOR DYNAMICS 365
O:8C7D2DF8-86F0-4902-B2ED-A0458298F3B3	DESKLESS	MICROSOFT STAFFHUB
O:BE5A7ED5-C598-4FCD-A061-5E6724C68A58	SHAREPOINT	OFFICE 365 EXTRA FILE STORAGE
O:D42BDBD6-C335-4231-AB3D-C8F348D5AFF5	EXCHANGE	EXCHANGE ONLINE (P1)
O:FC52CC4B-ED7D-472D-BBE7-B081C23ECC56	EXCHANGE	EXCHANGE ONLINE PLAN 1
O:03ACAEE3-9492-4F40-AED4-BCB6B32981B6	NETBREEZE	MICROSOFT SOCIAL ENGAGEMENT ENTERPRISE
O:094E7854-93FC-4D55-B2C0-3AB5369EBDC1	MICROSOFTOFFICE	OFFICE 365 BUSINESS
O:0F9B09CB-62D1-4FF4-9129-43F4996F83F4	PROCESSSIMPLE	FLOW FOR OFFICE 365
O:6C57D4B6-3B23-47A5-9BC9-69F17B4947B3	RMSONLINE	AZURE INFORMATION PROTECTION PREMIUM P1
O:8CA59559-E2CA-470B-B7DD-AFD8C0DEE963	MICROSOFTOFFICE	OFFICE 365 SMALL BUSINESS SUBSCRIPTION
O:AFC06CB0-B4F4-4473-8286-D644F70D8FAF	MICROSOFTCOMMUNICATIONSONLINE	SKYPE FOR BUSINESS ONLINE (PLAN 1)
O:C7699D2E-19AA-44DE-8EDF-1736DA088CA1	SHAREPOINT	SHAREPOINT ONLINE (PLAN 1)
O:D56F3DEB-50D8-465A-BEDB-F079817CCAC1	CRM	DYNAMICS 365 P1
